chart_week,current_week,title,performer,spotify_link
1965-02-27,5,The Jolly Green Giant,The Kingsmen,https://open.spotify.com/track/0WhJxcxyQOIK9iaH9GmpKv
1965-03-06,1,My Girl,The Temptations,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH
1965-03-06,2,This Diamond Ring,Gary Lewis And The Playboys,https://open.spotify.com/track/78V47MibfQBUS5GqgfWzE8
1965-03-06,3,You've Lost That Lovin' Feelin',The Righteous Brothers,https://open.spotify.com/track/6AeyHqzNHJthYJbn0tvJ4b
1965-03-06,4,The Jolly Green Giant,The Kingsmen,https://open.spotify.com/track/0WhJxcxyQOIK9iaH9GmpKv
1965-03-06,5,Eight Days A Week,The Beatles,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre
1965-03-13,1,Eight Days A Week,The Beatles,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre
1965-03-13,2,My Girl,The Temptations,https://open.spotify.com/track/745H5CctFr12Mo7cqa1BMH
1965-03-13,3,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-03-13,4,This Diamond Ring,Gary Lewis And The Playboys,https://open.spotify.com/track/78V47MibfQBUS5GqgfWzE8
1965-03-13,5,The Birds And The Bees,Jewel Akens,https://open.spotify.com/track/61yXDqM3ZOWkD9W7mB7xw6
1965-03-20,1,Eight Days A Week,The Beatles,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre
1965-03-20,2,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-03-20,3,The Birds And The Bees,Jewel Akens,https://open.spotify.com/track/61yXDqM3ZOWkD9W7mB7xw6
1965-03-20,4,King Of The Road,Roger Miller,https://open.spotify.com/track/3XG7bMVcMWLIn2k9jLAaAt
1965-03-20,5,Can't You Hear My Heartbeat,Herman's Hermits,https://open.spotify.com/track/0pWfuXyZ2qH4qEnriR8mAD
1965-03-27,1,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-03-27,2,Can't You Hear My Heartbeat,Herman's Hermits,https://open.spotify.com/track/0pWfuXyZ2qH4qEnriR8mAD
1965-03-27,3,The Birds And The Bees,Jewel Akens,https://open.spotify.com/track/61yXDqM3ZOWkD9W7mB7xw6
1965-03-27,4,Eight Days A Week,The Beatles,https://open.spotify.com/track/1Dg4dFJr3HW7sbA7vPejre
1965-03-27,5,King Of The Road,Roger Miller,https://open.spotify.com/track/3XG7bMVcMWLIn2k9jLAaAt
1965-04-03,1,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-04-03,2,Can't You Hear My Heartbeat,Herman's Hermits,https://open.spotify.com/track/0pWfuXyZ2qH4qEnriR8mAD
1965-04-03,3,I'm Telling You Now,Freddie And The Dreamers,https://open.spotify.com/track/3qC08srhXBJ6DEQ7CwPMB0
1965-04-03,4,Shotgun,Jr. Walker & The All Stars,https://open.spotify.com/track/2Zk0eoq7d6Vw0fRVRXPWnc
1965-04-03,5,The Birds And The Bees,Jewel Akens,https://open.spotify.com/track/61yXDqM3ZOWkD9W7mB7xw6
1965-04-10,1,I'm Telling You Now,Freddie And The Dreamers,https://open.spotify.com/track/3qC08srhXBJ6DEQ7CwPMB0
1965-04-10,2,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-04-10,3,Can't You Hear My Heartbeat,Herman's Hermits,https://open.spotify.com/track/0pWfuXyZ2qH4qEnriR8mAD
1965-04-10,4,Shotgun,Jr. Walker & The All Stars,https://open.spotify.com/track/2Zk0eoq7d6Vw0fRVRXPWnc
1965-04-10,5,The Birds And The Bees,Jewel Akens,https://open.spotify.com/track/61yXDqM3ZOWkD9W7mB7xw6
1965-04-17,1,I'm Telling You Now,Freddie And The Dreamers,https://open.spotify.com/track/3qC08srhXBJ6DEQ7CwPMB0
1965-04-17,2,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-04-17,3,Game Of Love,Wayne Fontana & The Mindbenders,https://open.spotify.com/track/0jUfBCWrfrZGueD8MjvgMo
1965-04-17,4,I Know A Place,Petula Clark,https://open.spotify.com/track/0WzOzktXYy5bQ45NCoJTkb
1965-04-17,5,Shotgun,Jr. Walker & The All Stars,https://open.spotify.com/track/2Zk0eoq7d6Vw0fRVRXPWnc
1965-04-24,1,Game Of Love,Wayne Fontana & The Mindbenders,https://open.spotify.com/track/0jUfBCWrfrZGueD8MjvgMo
1965-04-24,2,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,https://open.spotify.com/track/6C4iMi6YSLjmZ8GFqEsrby
1965-04-24,3,I'm Telling You Now,Freddie And The Dreamers,https://open.spotify.com/track/3qC08srhXBJ6DEQ7CwPMB0
1965-04-24,4,I Know A Place,Petula Clark,https://open.spotify.com/track/0WzOzktXYy5bQ45NCoJTkb
1965-04-24,5,Stop! In The Name Of Love,The Supremes,https://open.spotify.com/track/52FlwUMMDnTK8TGkCag9Jd
1965-05-01,1,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,https://open.spotify.com/track/6C4iMi6YSLjmZ8GFqEsrby
1965-05-01,2,Game Of Love,Wayne Fontana & The Mindbenders,https://open.spotify.com/track/0jUfBCWrfrZGueD8MjvgMo
1965-05-01,3,I Know A Place,Petula Clark,https://open.spotify.com/track/0WzOzktXYy5bQ45NCoJTkb
1965-05-01,4,I'm Telling You Now,Freddie And The Dreamers,https://open.spotify.com/track/3qC08srhXBJ6DEQ7CwPMB0
1965-05-01,5,I'll Never Find Another You,The Seekers,https://open.spotify.com/track/1sQ5WUWw3JrsSEhdiQlfRt
1965-05-08,1,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,https://open.spotify.com/track/6C4iMi6YSLjmZ8GFqEsrby
1965-05-08,2,Count Me In,Gary Lewis And The Playboys,https://open.spotify.com/track/6AxrqcdIE5lSjXxKUyBAU0
1965-05-08,3,Ticket To Ride,The Beatles,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL
1965-05-08,4,Game Of Love,Wayne Fontana & The Mindbenders,https://open.spotify.com/track/0jUfBCWrfrZGueD8MjvgMo
1965-05-08,5,I'll Never Find Another You,The Seekers,https://open.spotify.com/track/1sQ5WUWw3JrsSEhdiQlfRt
1965-05-15,1,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,https://open.spotify.com/track/6C4iMi6YSLjmZ8GFqEsrby
1965-05-15,2,Count Me In,Gary Lewis And The Playboys,https://open.spotify.com/track/6AxrqcdIE5lSjXxKUyBAU0
1965-05-15,3,Ticket To Ride,The Beatles,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL
1965-05-15,4,I'll Never Find Another You,The Seekers,https://open.spotify.com/track/1sQ5WUWw3JrsSEhdiQlfRt
1965-05-15,5,Silhouettes,Herman's Hermits,https://open.spotify.com/track/2CflQB9bUe6CqUOSapBw3h
1965-05-22,1,Ticket To Ride,The Beatles,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL
1965-05-22,2,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,https://open.spotify.com/track/6C4iMi6YSLjmZ8GFqEsrby
1965-05-22,3,Count Me In,Gary Lewis And The Playboys,https://open.spotify.com/track/6AxrqcdIE5lSjXxKUyBAU0
1965-05-22,4,"Help Me, Rhonda",The Beach Boys,https://open.spotify.com/track/3haZcHm3HydDVxm3je3Zmg
1965-05-22,5,I'll Never Find Another You,The Seekers,https://open.spotify.com/track/1sQ5WUWw3JrsSEhdiQlfRt
1965-05-29,1,"Help Me, Rhonda",The Beach Boys,https://open.spotify.com/track/3haZcHm3HydDVxm3je3Zmg
1965-05-29,2,Ticket To Ride,The Beatles,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL
1965-05-29,3,Back In My Arms Again,The Supremes,https://open.spotify.com/track/2WjW8DjQru6Ic4KvYDqLys
1965-05-29,4,Mrs. Brown You've Got A Lovely Daughter,Herman's Hermits,https://open.spotify.com/track/6C4iMi6YSLjmZ8GFqEsrby
1965-05-29,5,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-06-05,1,"Help Me, Rhonda",The Beach Boys,https://open.spotify.com/track/3haZcHm3HydDVxm3je3Zmg
1965-06-05,2,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-06-05,3,Back In My Arms Again,The Supremes,https://open.spotify.com/track/2WjW8DjQru6Ic4KvYDqLys
1965-06-05,4,Crying In The Chapel,Elvis Presley With The Jordanaires,https://open.spotify.com/track/2inb1KNU2bGIkldLsuDb83
1965-06-05,5,Ticket To Ride,The Beatles,https://open.spotify.com/track/7CZiDzGVjUssMSOXrDNYHL
1965-06-12,1,Back In My Arms Again,The Supremes,https://open.spotify.com/track/2WjW8DjQru6Ic4KvYDqLys
1965-06-12,2,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-06-12,3,Crying In The Chapel,Elvis Presley With The Jordanaires,https://open.spotify.com/track/2inb1KNU2bGIkldLsuDb83
1965-06-12,4,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-06-12,5,"Help Me, Rhonda",The Beach Boys,https://open.spotify.com/track/3haZcHm3HydDVxm3je3Zmg
1965-06-19,1,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-06-19,2,Mr. Tambourine Man,The Byrds,https://open.spotify.com/track/2HCaIYjkvWSZzaSKUoOh3d
1965-06-19,3,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-06-19,4,Crying In The Chapel,Elvis Presley With The Jordanaires,https://open.spotify.com/track/2inb1KNU2bGIkldLsuDb83
1965-06-19,5,Back In My Arms Again,The Supremes,https://open.spotify.com/track/2WjW8DjQru6Ic4KvYDqLys
1965-06-26,1,Mr. Tambourine Man,The Byrds,https://open.spotify.com/track/2HCaIYjkvWSZzaSKUoOh3d
1965-06-26,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-06-26,3,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-06-26,4,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-06-26,5,Wonderful World,Herman's Hermits,https://open.spotify.com/track/43LT5KZkhHbSqOjOUeQbh6
1965-07-03,1,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-07-03,2,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-07-03,3,Mr. Tambourine Man,The Byrds,https://open.spotify.com/track/2HCaIYjkvWSZzaSKUoOh3d
1965-07-03,4,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-07-03,5,Wonderful World,Herman's Hermits,https://open.spotify.com/track/43LT5KZkhHbSqOjOUeQbh6
1965-07-10,1,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-07-10,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-07-10,3,Mr. Tambourine Man,The Byrds,https://open.spotify.com/track/2HCaIYjkvWSZzaSKUoOh3d
1965-07-10,4,Wonderful World,Herman's Hermits,https://open.spotify.com/track/43LT5KZkhHbSqOjOUeQbh6
1965-07-10,5,Wooly Bully,Sam The Sham and the Pharaohs,https://open.spotify.com/track/4GNmvOYZW11lGzcZm0FKGY
1965-07-17,1,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-07-17,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-07-17,3,"I'm Henry VIII, I Am",Herman's Hermits,https://open.spotify.com/track/4FRglhoxzWMi1medH1s11D
1965-07-17,4,Mr. Tambourine Man,The Byrds,https://open.spotify.com/track/2HCaIYjkvWSZzaSKUoOh3d
1965-07-17,5,"Cara, Mia",Jay & The Americans,https://open.spotify.com/track/6kOGvRl0ie97TShrk210ON
1965-07-24,1,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-07-24,2,"I'm Henry VIII, I Am",Herman's Hermits,https://open.spotify.com/track/4FRglhoxzWMi1medH1s11D
1965-07-24,3,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,https://open.spotify.com/track/6b6IMqP565TbtFFZg9iFf3
1965-07-24,4,What's New Pussycat?,Tom Jones,https://open.spotify.com/track/4HjwGX3pJKJTeOSDpT6GCo
1965-07-24,5,"Cara, Mia",Jay & The Americans,https://open.spotify.com/track/6kOGvRl0ie97TShrk210ON
1965-07-31,1,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-07-31,2,"I'm Henry VIII, I Am",Herman's Hermits,https://open.spotify.com/track/4FRglhoxzWMi1medH1s11D
1965-07-31,3,What's New Pussycat?,Tom Jones,https://open.spotify.com/track/4HjwGX3pJKJTeOSDpT6GCo
1965-07-31,4,"Cara, Mia",Jay & The Americans,https://open.spotify.com/track/6kOGvRl0ie97TShrk210ON
1965-07-31,5,"Yes, I'm Ready",Barbara Mason,https://open.spotify.com/track/2gZpW5pTZkimGG98loFSl2
1965-08-07,1,"I'm Henry VIII, I Am",Herman's Hermits,https://open.spotify.com/track/4FRglhoxzWMi1medH1s11D
1965-08-07,2,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-08-07,3,What's New Pussycat?,Tom Jones,https://open.spotify.com/track/4HjwGX3pJKJTeOSDpT6GCo
1965-08-07,4,Save Your Heart For Me,Gary Lewis And The Playboys,https://open.spotify.com/track/06oBmaDk2mQDe6kIE4aXYX
1965-08-07,5,I Got You Babe,Sonny & Cher,https://open.spotify.com/track/4SGBuq37Ol4HJr7pQqFMKa
1965-08-14,1,I Got You Babe,Sonny & Cher,https://open.spotify.com/track/4SGBuq37Ol4HJr7pQqFMKa
1965-08-14,2,(I Can't Get No) Satisfaction,The Rolling Stones,https://open.spotify.com/track/2PzU4IB8Dr6mxV3lHuaG34
1965-08-14,3,Save Your Heart For Me,Gary Lewis And The Playboys,https://open.spotify.com/track/06oBmaDk2mQDe6kIE4aXYX
1965-08-14,4,"I'm Henry VIII, I Am",Herman's Hermits,https://open.spotify.com/track/4FRglhoxzWMi1medH1s11D
1965-08-14,5,What's New Pussycat?,Tom Jones,https://open.spotify.com/track/4HjwGX3pJKJTeOSDpT6GCo
1965-08-21,1,I Got You Babe,Sonny & Cher,https://open.spotify.com/track/4SGBuq37Ol4HJr7pQqFMKa
1965-08-21,2,Save Your Heart For Me,Gary Lewis And The Playboys,https://open.spotify.com/track/06oBmaDk2mQDe6kIE4aXYX
1965-08-21,3,Help!,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-08-21,4,California Girls,The Beach Boys,https://open.spotify.com/track/6bJuuCtXYiwOcKT9s8uRh8
1965-08-21,5,Unchained Melody,The Righteous Brothers,https://open.spotify.com/track/2qhASBzpbFhPRtrnZ5lLnz
1965-08-28,1,I Got You Babe,Sonny & Cher,https://open.spotify.com/track/4SGBuq37Ol4HJr7pQqFMKa
1965-08-28,2,Help!,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-08-28,3,California Girls,The Beach Boys,https://open.spotify.com/track/6bJuuCtXYiwOcKT9s8uRh8
1965-08-28,4,Unchained Melody,The Righteous Brothers,https://open.spotify.com/track/2qhASBzpbFhPRtrnZ5lLnz
1965-08-28,5,It's The Same Old Song,Four Tops,https://open.spotify.com/track/7d1ustAIlXG7ht5Q4IOv7s
1965-09-04,1,Help!,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-09-04,2,Like A Rolling Stone,Bob Dylan,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc
1965-09-04,3,California Girls,The Beach Boys,https://open.spotify.com/track/6bJuuCtXYiwOcKT9s8uRh8
1965-09-04,4,Unchained Melody,The Righteous Brothers,https://open.spotify.com/track/2qhASBzpbFhPRtrnZ5lLnz
1965-09-04,5,It's The Same Old Song,Four Tops,https://open.spotify.com/track/7d1ustAIlXG7ht5Q4IOv7s
1965-09-11,1,Help!,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-09-11,2,Like A Rolling Stone,Bob Dylan,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc
1965-09-11,3,Eve Of Destruction,Barry McGuire,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN
1965-09-11,4,You Were On My Mind,We Five,https://open.spotify.com/track/36ckFm0oicmvX8bWEErIHd
1965-09-11,5,California Girls,The Beach Boys,https://open.spotify.com/track/6bJuuCtXYiwOcKT9s8uRh8
1965-09-18,1,Help!,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-09-18,2,Eve Of Destruction,Barry McGuire,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN
1965-09-18,3,Like A Rolling Stone,Bob Dylan,https://open.spotify.com/track/3AhXZa8sUQht0UEdBJgpGc
1965-09-18,4,You Were On My Mind,We Five,https://open.spotify.com/track/36ckFm0oicmvX8bWEErIHd
1965-09-18,5,Catch Us If You Can,The Dave Clark Five,https://open.spotify.com/track/1DjvoXYVkNNebGQBNrtv8D
1965-09-25,1,Eve Of Destruction,Barry McGuire,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN
1965-09-25,2,Hang On Sloopy,The McCoys,https://open.spotify.com/track/0i7O5MtSTXvR4BEY7stpjF
1965-09-25,3,You Were On My Mind,We Five,https://open.spotify.com/track/36ckFm0oicmvX8bWEErIHd
1965-09-25,4,Catch Us If You Can,The Dave Clark Five,https://open.spotify.com/track/1DjvoXYVkNNebGQBNrtv8D
1965-09-25,5,Help!,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-10-02,1,Hang On Sloopy,The McCoys,https://open.spotify.com/track/0i7O5MtSTXvR4BEY7stpjF
1965-10-02,2,Eve Of Destruction,Barry McGuire,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN
1965-10-02,3,Yesterday,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-10-02,4,Catch Us If You Can,The Dave Clark Five,https://open.spotify.com/track/1DjvoXYVkNNebGQBNrtv8D
1965-10-02,5,You Were On My Mind,We Five,https://open.spotify.com/track/36ckFm0oicmvX8bWEErIHd
1965-10-09,1,Yesterday,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-10-09,2,Hang On Sloopy,The McCoys,https://open.spotify.com/track/0i7O5MtSTXvR4BEY7stpjF
1965-10-09,3,Treat Her Right,Roy Head And The Traits,https://open.spotify.com/track/2dq2J24oIF67Uvttut4dv7
1965-10-09,4,Eve Of Destruction,Barry McGuire,https://open.spotify.com/track/1Zi2ezNOqt9y9irC11xYpN
1965-10-09,5,"The ""In"" Crowd",Ramsey Lewis Trio,https://open.spotify.com/track/3l2pObHGPzGmgRWDlAbUJN
1965-10-16,1,Yesterday,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-10-16,2,Treat Her Right,Roy Head And The Traits,https://open.spotify.com/track/2dq2J24oIF67Uvttut4dv7
1965-10-16,3,Hang On Sloopy,The McCoys,https://open.spotify.com/track/0i7O5MtSTXvR4BEY7stpjF
1965-10-16,4,A Lover's Concerto,The Toys,https://open.spotify.com/track/3yH7ltF3mKg6lVaHfKs8RY
1965-10-16,5,Keep On Dancing,The Gentrys,https://open.spotify.com/track/0U2qjjKAGyednhFU0fxw1B
1965-10-23,1,Yesterday,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-10-23,2,Treat Her Right,Roy Head And The Traits,https://open.spotify.com/track/2dq2J24oIF67Uvttut4dv7
1965-10-23,3,A Lover's Concerto,The Toys,https://open.spotify.com/track/3yH7ltF3mKg6lVaHfKs8RY
1965-10-23,4,Get Off Of My Cloud,The Rolling Stones,https://open.spotify.com/track/263Iuyk08ks1v6FIudUIGD
1965-10-23,5,Keep On Dancing,The Gentrys,https://open.spotify.com/track/0U2qjjKAGyednhFU0fxw1B
1965-10-30,1,Yesterday,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-10-30,2,A Lover's Concerto,The Toys,https://open.spotify.com/track/3yH7ltF3mKg6lVaHfKs8RY
1965-10-30,3,Get Off Of My Cloud,The Rolling Stones,https://open.spotify.com/track/263Iuyk08ks1v6FIudUIGD
1965-10-30,4,Keep On Dancing,The Gentrys,https://open.spotify.com/track/0U2qjjKAGyednhFU0fxw1B
1965-10-30,5,Everybody Loves A Clown,Gary Lewis And The Playboys,https://open.spotify.com/track/7oyWv82I9J915DAspliyq7
1965-11-06,1,Get Off Of My Cloud,The Rolling Stones,https://open.spotify.com/track/263Iuyk08ks1v6FIudUIGD
1965-11-06,2,A Lover's Concerto,The Toys,https://open.spotify.com/track/3yH7ltF3mKg6lVaHfKs8RY
1965-11-06,3,Yesterday,The Beatles,https://open.spotify.com/track/3BQHpFgAp4l80e1XslIjNI
1965-11-06,4,Everybody Loves A Clown,Gary Lewis And The Playboys,https://open.spotify.com/track/7oyWv82I9J915DAspliyq7
1965-11-06,5,Keep On Dancing,The Gentrys,https://open.spotify.com/track/0U2qjjKAGyednhFU0fxw1B
1965-11-13,1,Get Off Of My Cloud,The Rolling Stones,https://open.spotify.com/track/263Iuyk08ks1v6FIudUIGD
1965-11-13,2,A Lover's Concerto,The Toys,https://open.spotify.com/track/3yH7ltF3mKg6lVaHfKs8RY
1965-11-13,3,1-2-2003,Len Barry,
1965-11-13,4,You're The One,The Vogues,https://open.spotify.com/track/3N8RnWuuvGpozWyeqgGvU7
1965-11-13,5,I Hear A Symphony,The Supremes,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh
1965-11-20,1,I Hear A Symphony,The Supremes,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh
1965-11-20,2,1-2-2003,Len Barry,
1965-11-20,3,Get Off Of My Cloud,The Rolling Stones,https://open.spotify.com/track/263Iuyk08ks1v6FIudUIGD
1965-11-20,4,Rescue Me,Fontella Bass,https://open.spotify.com/track/1GY8zOFi8rC39xXnD0tKO8
1965-11-20,5,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",
1965-11-27,1,I Hear A Symphony,The Supremes,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh
1965-11-27,2,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,https://open.spotify.com/track/5qBqBdfTEIWJwAS0Jm2F5R
1965-11-27,3,1-2-2003,Len Barry,
1965-11-27,4,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",
1965-11-27,5,Get Off Of My Cloud,The Rolling Stones,https://open.spotify.com/track/263Iuyk08ks1v6FIudUIGD
1965-12-04,1,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,https://open.spotify.com/track/5qBqBdfTEIWJwAS0Jm2F5R
1965-12-04,2,I Hear A Symphony,The Supremes,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh
1965-12-04,3,1-2-2003,Len Barry,
1965-12-04,4,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",
1965-12-04,5,I Got You (I Feel Good),James Brown And The Famous Flames,https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
1965-12-11,1,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,https://open.spotify.com/track/5qBqBdfTEIWJwAS0Jm2F5R
1965-12-11,2,I Hear A Symphony,The Supremes,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh
1965-12-11,3,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",
1965-12-11,4,I Got You (I Feel Good),James Brown And The Famous Flames,https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
1965-12-11,5,Over And Over,The Dave Clark Five,https://open.spotify.com/track/0SKS8mR9wgXcr670BzR9fg
1965-12-18,1,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,https://open.spotify.com/track/5qBqBdfTEIWJwAS0Jm2F5R
1965-12-18,2,Over And Over,The Dave Clark Five,https://open.spotify.com/track/0SKS8mR9wgXcr670BzR9fg
1965-12-18,3,I Got You (I Feel Good),James Brown And The Famous Flames,https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
1965-12-18,4,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",
1965-12-18,5,I Hear A Symphony,The Supremes,https://open.spotify.com/track/1kFCFfR5q4VO02KtYguXgh
1965-12-25,1,Over And Over,The Dave Clark Five,https://open.spotify.com/track/0SKS8mR9wgXcr670BzR9fg
1965-12-25,2,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,https://open.spotify.com/track/5qBqBdfTEIWJwAS0Jm2F5R
1965-12-25,3,I Got You (I Feel Good),James Brown And The Famous Flames,https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
1965-12-25,4,Let's Hang On!,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",
1965-12-25,5,The Sound Of Silence,Simon & Garfunkel,https://open.spotify.com/track/5y788ya4NvwhBznoDIcXwK
1966-01-01,1,The Sound Of Silence,Simon & Garfunkel,https://open.spotify.com/track/5y788ya4NvwhBznoDIcXwK
1966-01-01,2,We Can Work It Out,The Beatles,https://open.spotify.com/track/7LNiAjyg9P2GKINTtN6Yt8
1966-01-01,3,I Got You (I Feel Good),James Brown And The Famous Flames,https://open.spotify.com/track/5haXbSJqjjM0TCJ5XkfEaC
1966-01-01,4,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,https://open.spotify.com/track/5qBqBdfTEIWJwAS0Jm2F5R
1966-01-01,5,Over And Over,The Dave Clark Five,https://open.spotify.com/track/0SKS8mR9wgXcr670BzR9fg
1966-01-08,1,We Can Work It Out,The Beatles,https://open.spotify.com/track/7LNiAjyg9P2GKINTtN6Yt8
1966-01-08,2,The Sound Of Silence,Simon & Garfunkel,https://open.spotify.com/track/5y788ya4NvwhBznoDIcXwK
1966-01-08,3,She's Just My Style,Gary Lewis And The Playboys,https://open.spotify.com/track/6qBnFI2eznBHyHjg9kBT4K
1966-01-08,4,Flowers On The Wall,The Statler Brothers,https://open.spotify.com/track/7ledv9CTjqdwnvHgRmETyZ
1966-01-08,5,Ebb Tide,The Righteous Brothers,https://open.spotify.com/track/1zbo64lsdu5s67XpqMdbiz
1966-01-15,1,We Can Work It Out,The Beatles,https://open.spotify.com/track/7LNiAjyg9P2GKINTtN6Yt8
