chart_week,current_week,title,performer
1961-07-17,3,Quarter To Three,U.S. Bonds
1961-07-17,4,Raindrops,Dee Clark
1961-07-17,5,Yellow Bird,Arthur Lyman Group
1961-07-24,1,Tossin' And Turnin',Bobby Lewis
1961-07-24,2,The Boll Weevil Song,Brook Benton
1961-07-24,3,Quarter To Three,U.S. Bonds
1961-07-24,4,Yellow Bird,Arthur Lyman Group
1961-07-24,5,"I Like It Like That, Part 1",Chris Kenner
1961-07-31,1,Tossin' And Turnin',Bobby Lewis
1961-07-31,2,"I Like It Like That, Part 1",Chris Kenner
1961-07-31,3,The Boll Weevil Song,Brook Benton
1961-07-31,4,Dum Dum,Brenda Lee
1961-07-31,5,Hats Off To Larry,Del Shannon
1961-08-07,1,Tossin' And Turnin',Bobby Lewis
1961-08-07,2,"I Like It Like That, Part 1",Chris Kenner
1961-08-07,3,Last Night,Mar-Keys
1961-08-07,4,Dum Dum,Brenda Lee
1961-08-07,5,Hats Off To Larry,Del Shannon
1961-08-14,1,Tossin' And Turnin',Bobby Lewis
1961-08-14,2,"I Like It Like That, Part 1",Chris Kenner
1961-08-14,3,Last Night,Mar-Keys
1961-08-14,4,Dum Dum,Brenda Lee
1961-08-14,5,Wooden Heart,Joe Dowell
1961-08-21,1,Tossin' And Turnin',Bobby Lewis
1961-08-21,2,Wooden Heart,Joe Dowell
1961-08-21,3,Michael,The Highwaymen
1961-08-21,4,Last Night,Mar-Keys
1961-08-21,5,"I Like It Like That, Part 1",Chris Kenner
1961-08-28,1,Wooden Heart,Joe Dowell
1961-08-28,2,Tossin' And Turnin',Bobby Lewis
1961-08-28,3,Michael,The Highwaymen
1961-08-28,4,Last Night,Mar-Keys
1961-08-28,5,You Don't Know What You've Got (Until You Lose It),Ral Donner
1961-09-04,1,Michael,The Highwaymen
1961-09-04,2,Wooden Heart,Joe Dowell
1961-09-04,3,Tossin' And Turnin',Bobby Lewis
1961-09-04,4,You Don't Know What You've Got (Until You Lose It),Ral Donner
1961-09-04,5,School Is Out,Gary U.S. Bonds
1961-09-11,1,Michael,The Highwaymen
1961-09-11,2,Take Good Care Of My Baby,Bobby Vee
1961-09-11,3,My True Story,The Jive Five With Joe Rene And Orchestra
1961-09-11,4,Hurt,Timi Yuro
1961-09-11,5,You Don't Know What You've Got (Until You Lose It),Ral Donner
1961-09-18,1,Take Good Care Of My Baby,Bobby Vee
1961-09-18,2,Michael,The Highwaymen
1961-09-18,3,My True Story,The Jive Five With Joe Rene And Orchestra
1961-09-18,4,(Marie's The Name) His Latest Flame,Elvis Presley
1961-09-18,5,Crying,Roy Orbison
1961-09-25,1,Take Good Care Of My Baby,Bobby Vee
1961-09-25,2,The Mountain's High,Dick and DeeDee
1961-09-25,3,Michael,The Highwaymen
1961-09-25,4,Crying,Roy Orbison
1961-09-25,5,Does Your Chewing Gum Lose It's Flavor (On The Bedpost Over Night),Lonnie Donegan And His Skiffle Group
1961-10-02,1,Take Good Care Of My Baby,Bobby Vee
1961-10-02,2,The Mountain's High,Dick and DeeDee
1961-10-02,3,Crying,Roy Orbison
1961-10-02,4,Hit The Road Jack,Ray Charles and his Orchestra
1961-10-02,5,Little Sister,Elvis Presley
1961-10-09,1,Hit The Road Jack,Ray Charles and his Orchestra
1961-10-09,2,Crying,Roy Orbison
1961-10-09,3,Take Good Care Of My Baby,Bobby Vee
1961-10-09,4,Runaround Sue,Dion
1961-10-09,5,Bristol Stomp,The Dovells
1961-10-16,1,Hit The Road Jack,Ray Charles and his Orchestra
1961-10-16,2,Runaround Sue,Dion
1961-10-16,3,Bristol Stomp,The Dovells
1961-10-16,4,Crying,Roy Orbison
1961-10-16,5,You Must Have Been A Beautiful Baby,Bobby Darin
1961-10-23,1,Runaround Sue,Dion
1961-10-23,2,Bristol Stomp,The Dovells
1961-10-23,3,Big Bad John,Jimmy Dean
1961-10-23,4,Hit The Road Jack,Ray Charles and his Orchestra
1961-10-23,5,Sad Movies (Make Me Cry),Sue Thompson
1961-10-30,1,Runaround Sue,Dion
1961-10-30,2,Bristol Stomp,The Dovells
1961-10-30,3,Big Bad John,Jimmy Dean
1961-10-30,4,Hit The Road Jack,Ray Charles and his Orchestra
1961-10-30,5,I Love How You Love Me,The Paris Sisters
1961-11-06,1,Big Bad John,Jimmy Dean
1961-11-06,2,Runaround Sue,Dion
1961-11-06,3,Bristol Stomp,The Dovells
1961-11-06,4,Hit The Road Jack,Ray Charles and his Orchestra
1961-11-06,5,Fool #1,Brenda Lee
1961-11-13,1,Big Bad John,Jimmy Dean
1961-11-13,2,Runaround Sue,Dion
1961-11-13,3,Fool #1,Brenda Lee
1961-11-13,4,Bristol Stomp,The Dovells
1961-11-13,5,Tower Of Strength,Gene McDaniels
1961-11-20,1,Big Bad John,Jimmy Dean
1961-11-20,2,Runaround Sue,Dion
1961-11-20,3,Fool #1,Brenda Lee
1961-11-20,4,Goodbye Cruel World,James Darren
1961-11-20,5,Bristol Stomp,The Dovells
1961-11-27,1,Big Bad John,Jimmy Dean
1961-11-27,2,Runaround Sue,Dion
1961-11-27,3,Please Mr. Postman,The Marvelettes
1961-11-27,4,Goodbye Cruel World,James Darren
1961-11-27,5,Fool #1,Brenda Lee
1961-12-04,1,Big Bad John,Jimmy Dean
1961-12-04,2,Please Mr. Postman,The Marvelettes
1961-12-04,3,Goodbye Cruel World,James Darren
1961-12-04,4,Runaround Sue,Dion
1961-12-04,5,Fool #1,Brenda Lee
1961-12-11,1,Please Mr. Postman,The Marvelettes
1961-12-11,2,Big Bad John,Jimmy Dean
1961-12-11,3,Goodbye Cruel World,James Darren
1961-12-11,4,The Twist,Chubby Checker
1961-12-11,5,Walk On By,Leroy Van Dyke
1961-12-18,1,The Lion Sleeps Tonight,The Tokens
1961-12-18,2,Please Mr. Postman,The Marvelettes
1961-12-18,3,Run To Him,Bobby Vee
1961-12-18,4,The Twist,Chubby Checker
1961-12-18,5,Walk On By,Leroy Van Dyke
1961-12-25,1,The Lion Sleeps Tonight,The Tokens
1961-12-25,2,Run To Him,Bobby Vee
1961-12-25,3,The Twist,Chubby Checker
1961-12-25,4,Goodbye Cruel World,James Darren
1961-12-25,5,Walk On By,Leroy Van Dyke
1962-01-06,1,The Lion Sleeps Tonight,The Tokens
1962-01-06,2,The Twist,Chubby Checker
1962-01-06,3,Run To Him,Bobby Vee
1962-01-06,4,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-01-06,5,Can't Help Falling In Love,Elvis Presley With The Jordanaires
1962-01-13,1,The Twist,Chubby Checker
1962-01-13,2,The Lion Sleeps Tonight,The Tokens
1962-01-13,3,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-01-13,4,Can't Help Falling In Love,Elvis Presley With The Jordanaires
1962-01-13,5,I Know (You Don't Love Me No More),Barbara George
1962-01-20,1,The Twist,Chubby Checker
1962-01-20,2,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-01-20,3,The Lion Sleeps Tonight,The Tokens
1962-01-20,4,Can't Help Falling In Love,Elvis Presley With The Jordanaires
1962-01-20,5,I Know (You Don't Love Me No More),Barbara George
1962-01-27,1,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-01-27,2,The Twist,Chubby Checker
1962-01-27,3,I Know (You Don't Love Me No More),Barbara George
1962-01-27,4,Can't Help Falling In Love,Elvis Presley With The Jordanaires
1962-01-27,5,Norman,Sue Thompson
1962-02-03,1,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-02-03,2,Can't Help Falling In Love,Elvis Presley With The Jordanaires
1962-02-03,3,The Twist,Chubby Checker
1962-02-03,4,Norman,Sue Thompson
1962-02-03,5,I Know (You Don't Love Me No More),Barbara George
1962-02-10,1,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-02-10,2,Duke Of Earl,Gene Chandler
1962-02-10,3,The Twist,Chubby Checker
1962-02-10,4,Can't Help Falling In Love,Elvis Presley With The Jordanaires
1962-02-10,5,I Know (You Don't Love Me No More),Barbara George
1962-02-17,1,Duke Of Earl,Gene Chandler
1962-02-17,2,Peppermint Twist - Part I,Joey Dee & the Starliters
1962-02-17,3,The Twist,Chubby Checker
1962-02-17,4,Norman,Sue Thompson
1962-02-17,5,The Wanderer,Dion
1962-02-24,1,Duke Of Earl,Gene Chandler
1962-02-24,2,The Wanderer,Dion
1962-02-24,3,Norman,Sue Thompson
1962-02-24,4,The Twist,Chubby Checker
1962-02-24,5,Hey! Baby,Bruce Channel
1962-03-03,1,Duke Of Earl,Gene Chandler
1962-03-03,2,Hey! Baby,Bruce Channel
1962-03-03,3,The Wanderer,Dion
1962-03-03,4,Break It To Me Gently,Brenda Lee
1962-03-03,5,The Twist,Chubby Checker
1962-03-10,1,Hey! Baby,Bruce Channel
1962-03-10,2,Duke Of Earl,Gene Chandler
1962-03-10,3,Midnight In Moscow,Kenny Ball and his Jazzmen
1962-03-10,4,Don't Break The Heart That Loves You,Connie Francis
1962-03-10,5,Let Me In,The Sensations
1962-03-17,1,Hey! Baby,Bruce Channel
1962-03-17,2,Midnight In Moscow,Kenny Ball and his Jazzmen
1962-03-17,3,Don't Break The Heart That Loves You,Connie Francis
1962-03-17,4,Let Me In,The Sensations
1962-03-17,5,Duke Of Earl,Gene Chandler
1962-03-24,1,Hey! Baby,Bruce Channel
1962-03-24,2,Don't Break The Heart That Loves You,Connie Francis
1962-03-24,3,Midnight In Moscow,Kenny Ball and his Jazzmen
1962-03-24,4,Let Me In,The Sensations
1962-03-24,5,Duke Of Earl,Gene Chandler
1962-03-31,1,Don't Break The Heart That Loves You,Connie Francis
1962-03-31,2,Hey! Baby,Bruce Channel
1962-03-31,3,Johnny Angel,Shelley Fabares
1962-03-31,4,Dream Baby (How Long Must I Dream),Roy Orbison
1962-03-31,5,Midnight In Moscow,Kenny Ball and his Jazzmen
1962-04-07,1,Johnny Angel,Shelley Fabares
1962-04-07,2,Don't Break The Heart That Loves You,Connie Francis
1962-04-07,3,Good Luck Charm,Elvis Presley With The Jordanaires
1962-04-07,4,Slow Twistin',Chubby Checker (with Dee Dee Sharp)
1962-04-07,5,Dream Baby (How Long Must I Dream),Roy Orbison
1962-04-14,1,Johnny Angel,Shelley Fabares
1962-04-14,2,Good Luck Charm,Elvis Presley With The Jordanaires
1962-04-14,3,Slow Twistin',Chubby Checker (with Dee Dee Sharp)
1962-04-14,4,Mashed Potato Time,Dee Dee Sharp
1962-04-14,5,Love Letters,Ketty Lester
1962-04-21,1,Good Luck Charm,Elvis Presley With The Jordanaires
1962-04-21,2,Johnny Angel,Shelley Fabares
1962-04-21,3,Mashed Potato Time,Dee Dee Sharp
1962-04-21,4,Slow Twistin',Chubby Checker (with Dee Dee Sharp)
1962-04-21,5,Young World,Rick Nelson
1962-04-28,1,Good Luck Charm,Elvis Presley With The Jordanaires
1962-04-28,2,Johnny Angel,Shelley Fabares
1962-04-28,3,Mashed Potato Time,Dee Dee Sharp
1962-04-28,4,Soldier Boy,The Shirelles
1962-04-28,5,Slow Twistin',Chubby Checker (with Dee Dee Sharp)
1962-05-05,1,Soldier Boy,The Shirelles
1962-05-05,2,Mashed Potato Time,Dee Dee Sharp
1962-05-05,3,Johnny Angel,Shelley Fabares
1962-05-05,4,Stranger On The Shore,Mr. Acker Bilk
1962-05-05,5,Good Luck Charm,Elvis Presley With The Jordanaires
1962-05-12,1,Soldier Boy,The Shirelles
1962-05-12,2,Mashed Potato Time,Dee Dee Sharp
1962-05-12,3,Stranger On The Shore,Mr. Acker Bilk
1962-05-12,4,Johnny Angel,Shelley Fabares
1962-05-12,5,Good Luck Charm,Elvis Presley With The Jordanaires
1962-05-19,1,Soldier Boy,The Shirelles
1962-05-19,2,Stranger On The Shore,Mr. Acker Bilk
1962-05-19,3,Mashed Potato Time,Dee Dee Sharp
1962-05-19,4,Johnny Angel,Shelley Fabares
1962-05-19,5,She Cried,Jay & The Americans
1962-05-26,1,Stranger On The Shore,Mr. Acker Bilk
1962-05-26,2,Soldier Boy,The Shirelles
1962-05-26,3,Mashed Potato Time,Dee Dee Sharp
1962-05-26,4,I Can't Stop Loving You,Ray Charles
1962-05-26,5,Old Rivers,Walter Brennan
1962-06-02,1,I Can't Stop Loving You,Ray Charles
1962-06-02,2,Stranger On The Shore,Mr. Acker Bilk
1962-06-02,3,Soldier Boy,The Shirelles
1962-06-02,4,Lovers Who Wander,Dion
1962-06-02,5,Mashed Potato Time,Dee Dee Sharp
1962-06-09,1,I Can't Stop Loving You,Ray Charles
1962-06-09,2,Stranger On The Shore,Mr. Acker Bilk
1962-06-09,3,Lovers Who Wander,Dion
1962-06-09,4,Soldier Boy,The Shirelles
1962-06-09,5,(The Man Who Shot) Liberty Valance,Gene Pitney
1962-06-16,1,I Can't Stop Loving You,Ray Charles
1962-06-16,2,Stranger On The Shore,Mr. Acker Bilk
1962-06-16,3,It Keeps Right On A-Hurtin',Johnny Tillotson
1962-06-16,4,(The Man Who Shot) Liberty Valance,Gene Pitney
1962-06-16,5,Palisades Park,Freddy Cannon
1962-06-23,1,I Can't Stop Loving You,Ray Charles
1962-06-23,2,The Stripper,David Rose and His Orchestra
1962-06-23,3,Palisades Park,Freddy Cannon
1962-06-23,4,It Keeps Right On A-Hurtin',Johnny Tillotson
1962-06-23,5,Stranger On The Shore,Mr. Acker Bilk
1962-06-30,1,I Can't Stop Loving You,Ray Charles
1962-06-30,2,The Stripper,David Rose and His Orchestra
1962-06-30,3,Palisades Park,Freddy Cannon
1962-06-30,4,It Keeps Right On A-Hurtin',Johnny Tillotson
1962-06-30,5,Roses Are Red (My Love),Bobby Vinton
1962-07-07,1,The Stripper,David Rose and His Orchestra
1962-07-07,2,Roses Are Red (My Love),Bobby Vinton
1962-07-07,3,I Can't Stop Loving You,Ray Charles
1962-07-07,4,Palisades Park,Freddy Cannon
1962-07-07,5,It Keeps Right On A-Hurtin',Johnny Tillotson
1962-07-14,1,Roses Are Red (My Love),Bobby Vinton
1962-07-14,2,The Stripper,David Rose and His Orchestra
1962-07-14,3,I Can't Stop Loving You,Ray Charles
1962-07-14,4,The Wah Watusi,The Orlons
1962-07-14,5,Sealed With A Kiss,Brian Hyland
1962-07-21,1,Roses Are Red (My Love),Bobby Vinton
1962-07-21,2,The Wah Watusi,The Orlons
1962-07-21,3,I Can't Stop Loving You,Ray Charles
1962-07-21,4,The Stripper,David Rose and His Orchestra
1962-07-21,5,Sealed With A Kiss,Brian Hyland
1962-07-28,1,Roses Are Red (My Love),Bobby Vinton
1962-07-28,2,The Wah Watusi,The Orlons
1962-07-28,3,Sealed With A Kiss,Brian Hyland
